Series Name,Series Code,Country Name,Country Code,2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974]
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 35-44)",SG.VAW.3544.ME.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 45-54)",SG.VAW.4554.ME.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 55-64)",SG.VAW.5564.ME.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 65+)",SG.VAW.65PL.ME.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Proportion of women who have ever experienced any form of sexual violence (% of women ages 15-49),SG.VAW.AFSX.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Proportion of women who have ever experienced intimate partner violence (% of ever-married women ages 15-49),SG.VAW.IPVE.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 15+)",SG.VAW.15PL.LT.ME.ZS,United States,USA,..,..,..,..,..,27.9690515234259,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 15-19)",SG.VAW.1519.LT.ME.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 15-49)",SG.VAW.1549.LT.ME.ZS,United States,USA,..,..,..,..,..,26,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 20-24)",SG.VAW.2024.LT.ME.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 25-29)",SG.VAW.2529.LT.ME.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 30-34)",SG.VAW.3034.LT.ME.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 45-54)",SG.VAW.4554.LT.ME.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 35-44)",SG.VAW.3544.LT.ME.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 55-64)",SG.VAW.5564.LT.ME.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Proportion of women who have ever experienced intimate partner violence (modeled estimate, % of ever partnered women ages 65+)",SG.VAW.65PL.LT.ME.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Proportion of women who have sought help to stop physical or sexual violence (% of ever-married women ages 15-49),SG.VAW.HLPV.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
There is legislation specifically addressing domestic violence (1=yes; 0=no),SG.LEG.DVAW,United States,USA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Women who experienced first sexual violence before age 15 (% of women ages 15-49),SG.VAW.SX15.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Women who experienced first sexual violence before age 18 (% of women ages 15-49),SG.VAW.SX18.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Women who experienced first sexual violence before age 22 (% of women ages 15-49),SG.VAW.SX22.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Women who have ever experienced  sexual violence committed by their husband/partner  (% of ever-married women ages 15-49),SG.VAW.IPSV.LT.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Women who have ever experienced emotional violence committed by their husband/partner  (% of ever-married women ages 15-49),SG.VAW.IPEV.LT.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Women who have ever experienced physical violence committed by their husband/partner (% of ever-married women ages 15-49),SG.VAW.IPPV.LT.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Women who have experienced emotional violence committed by their husband/partner in the 12 months (% of ever-married women ages 15-49),SG.VAW.IPEV.LY.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Women who have experienced physical violence committed by their husband/partner in the 12 months (% of ever-married women ages 15-49),SG.VAW.IPPV.LY.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Women who have experienced sexual violence committed by their husband/partner in the 12 months (% of ever-married women ages 15-49),SG.VAW.IPSV.LY.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Women who have not experienced spousal physical or sexual violence (% of currently married women age 15-49 who have been married only once),SG.VAW.IPVE.NV.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Women who never sought help to stop violence, and never told anyone  (% of ever-married women ages 15-49 who have ever experienced any physical or sexual violence)",SG.VAW.HLPV.NV.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Women who never sought help to stop violence, but told someone (% of ever-married women ages 15-49 who have ever experienced any physical or sexual violence)",SG.VAW.HLPV.TD.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Women who who have experienced injuries resulting from spousal violence (% of ever-married women ages 15-49 who have ever experienced any physical or sexual violence),SG.VAW.INJR.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Women whose first experience of spousal physical or sexual violence was before marriage  (% of currently married women age 15-49 who have been married only once),SG.VAW.IPVE.BM.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Women whose first experience of spousal physical or sexual violence was within five years of marriage  (% of currently married women age 15-49 who have been married only once),SG.VAW.IPVE.M5.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Women whose first experience of spousal physical or sexual violence was within ten years of marriage  (% of currently married women age 15-49 who have been married only once),SG.VAW.IPVE.M10.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Women whose first experience of spousal physical or sexual violence was within two years of marriage  (% of currently married women age 15-49 who have been married only once),SG.VAW.IPVE.M2.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Decision maker about a woman's own health care: mainly husband (% of women age 15-49),SG.DMK.HLTH.HB.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Decision maker about a woman's own health care: mainly wife (% of women age 15-49),SG.DMK.HLTH.WF.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Decision maker about a woman's own health care: other (% of women age 15-49),SG.DMK.HLTH.OT.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Decision maker about a woman's own health care: someone else (% of women age 15-49),SG.DMK.HLTH.SE.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Decision maker about a woman's own health care: wife and husband jointly (% of women age 15-49),SG.DMK.HLTH.WH.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dismissal of pregnant workers is prohibited (1=yes; 0=no),SG.DML.PRGW,United States,USA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Fertility planning status: unwanted pregnancy (% of births),SH.FPL.UWTD.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fertility planning status: planned pregnancy (% of births),SH.FPL.WNTD.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fertility planning status: mistimed pregnancy (% of births),SH.FPL.MSTM.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,United States,USA,50.747,49.673,49.573,48.373,50.136,49.564,49.336,48.9,48.9,48.709,48.618,48.364,48.436,48.682,50.209,51.364,52,52.6,53.255,53.327,53.845,55.509,56.364,57.273,57.191,57.582,57.209,56.718,56.809,57.036,56.364,56.182,56.091,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,United States,USA,55.918,54.644,54.526,53.212,55.146,54.521,54.266,53.787,53.794,53.581,53.48,53.201,53.276,53.554,55.228,56.498,57.196,57.861,58.575,58.663,59.229,61.055,62.002,63,62.909,63.341,62.928,62.393,62.485,62.742,62,61.8,61.7,62.9,64.4,64.5,64.6,64.3,63.7,62.8,61.9,62,61.9,58.07,62.5,61.7,59.6,58,57.2,56.6
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,United States,USA,51.315,51.355,51.373,49.636,51.455,50.818,51.5,51.382,51.073,51.282,51.445,51.391,51.464,51.591,53.155,55.473,55.936,57.564,57.227,57.809,58.055,59.536,60.936,62.355,61.845,62.145,62.227,62.727,63.982,63.955,63.818,64.091,64,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,United States,USA,56.579,56.487,56.505,54.597,56.599,55.901,56.649,56.521,56.181,56.411,56.594,56.535,56.605,56.751,58.466,61.015,61.535,63.321,62.947,63.586,63.862,65.489,67.033,68.586,68.027,68.356,68.446,68.998,70.381,70.35,70.2,70.5,70.4,71.8,73,72.4,72.3,73,73,72.8,72.5,72.6,73.7,69.08,75,74.9,74.1,72.9,72.4,73.7
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,United States,USA,51.037,50.531,50.491,49.018,50.809,50.204,50.441,50.167,50.01,50.023,50.063,49.912,49.985,50.171,51.718,53.471,54.022,55.151,55.295,55.627,56.005,57.576,58.711,59.88,59.578,59.922,59.782,59.798,60.482,60.577,60.179,60.23,60.137,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,United States,USA,56.251,55.57,55.519,53.907,55.876,55.216,55.466,55.165,54.996,55.008,55.05,54.881,54.969,55.166,56.859,58.777,59.389,60.617,60.78,61.144,61.557,63.285,64.527,65.806,65.477,65.872,65.711,65.705,66.438,66.547,66.1,66.1,66,67.3,68.6,68.4,68.4,68.6,68.3,67.7,67.1,67.2,67.7,63.61,68.6,68.2,66.7,65.3,64.6,64.9
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,United States,USA,56.511,55.977,55.588,55.7,56.885,56.497,56.406,56.135,56.002,56.215,56.364,56.799,57.053,57.604,58.174,58.434,58.225,58.302,58.195,58.082,58.351,58.486,58.681,58.857,58.717,58.532,58.518,57.922,57.607,57.369,56.407,56.266,55.834,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,United States,USA,57.332,56.788,56.091,56.201,57.429,57.078,57.035,56.801,56.677,56.974,57.206,57.684,58.104,58.623,59.195,59.471,59.308,59.363,59.255,59.164,59.505,59.622,59.787,59.942,60.034,59.847,59.898,59.343,59.048,58.862,57.9,57.8,57.4,57.5,57.4,56.6,56,55.3,54.5,53.6,52.9,52.6,52.1,49.92,50.9,50,48.4,47.3,46.3,45.7
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,United States,USA,..,67.73,66.967,66.605,67.617,66.97,66.682,66.08,65.706,65.9,65.951,66.359,66.519,67.08,67.687,67.954,67.739,67.987,67.893,67.853,68.307,68.701,69.065,69.396,69.427,69.38,69.463,68.83,68.466,68.146,67.233,67.025,66.393,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,United States,USA,67.388,67.236,67.043,67.116,68.559,68.449,68.418,68.513,68.36,68.406,68.794,69.119,69.151,69.651,70.385,71.372,71.584,71.868,71.755,71.748,71.906,72.517,72.929,73.378,73.296,73.368,73.523,73.468,73.476,73.549,73.919,74.297,74.258,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,United States,USA,68.118,67.97,67.599,67.664,69.154,69.055,69.069,69.189,69.05,69.214,69.728,70.159,70.475,71.184,71.952,72.953,73.223,73.464,73.323,73.326,73.508,74.102,74.443,74.81,74.72,74.889,75.086,75.032,75.05,75.123,75.4,75.8,75.8,76.4,76.4,76.2,76.2,76.3,76.3,76.4,76.4,76.6,77,75.14,77.8,77.9,77.7,77.5,77.9,78.7
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,United States,USA,..,77.584,77.142,76.798,78.078,77.805,77.556,77.354,77.03,77.033,77.217,77.364,77.301,77.834,78.588,79.662,79.916,80.207,80.11,80.181,80.394,81.204,81.686,82.205,82.306,82.492,82.547,82.506,82.454,82.393,82.899,83.161,83.064,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,United States,USA,61.856,61.511,61.221,61.316,62.628,62.373,62.307,62.211,62.062,62.188,62.447,62.822,62.961,63.483,64.132,64.747,64.743,64.92,64.808,64.744,64.957,65.323,65.623,65.927,65.809,65.742,65.804,65.466,65.303,65.211,64.889,64.994,64.746,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,United States,USA,62.604,62.236,61.659,61.746,63.1,62.871,62.851,62.786,62.651,62.885,63.249,63.701,64.109,64.706,65.37,65.994,66.04,66.179,66.047,65.994,66.244,66.582,66.824,67.074,67.083,67.086,67.204,66.868,66.718,66.658,66.3,66.4,66.2,66.5,66.5,65.9,65.6,65.3,64.8,64.4,64,64,63.9,61.96,63.7,63.2,62.3,61.6,61.2,61.3
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,United States,USA,..,72.675,72.073,71.72,72.865,72.401,72.128,71.721,71.366,71.459,71.571,71.841,71.883,72.427,73.108,73.777,73.797,74.067,73.972,73.988,74.324,74.928,75.354,75.78,75.842,75.909,75.98,75.643,75.438,75.252,75.052,75.08,74.712,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, female",SL.TLF.TOTL.FE.IN,United States,USA,79264777,77826439,76695269,76441855,77114853,76125670,75522608,74636949,73873817,73562348,73187084,73223901,73003304,73107787,73097370,72669286,71616301,70904859,69946777,69018356,68566320,68013736,67496511,66952591,66030356,65077574,64306151,62870490,61779243,60788192,59073860,58236903,57113147,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,United States,USA,46.4615618428691,46.272892239166,46.1491848958517,46.1489327204432,46.1487834708058,46.0510839800442,46.0583671944459,45.9449433839313,45.9858468641112,46.1089907913394,46.0847223707052,46.2117946260856,46.3679518408933,46.4596727619925,46.4471228517735,46.213706923006,46.0544135728248,45.9961195168971,46.0040906394035,45.9775968922828,46.0528382892819,45.903570002811,45.8534600516744,45.8060414236429,45.8208742817167,45.7652541302941,45.7441677105606,45.5401242273043,45.4340329654644,45.3383851099691,44.8234223173021,44.6645325026761,44.5229512872785,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
